wellbore_name,well_name,discovery_name,field_name,production_licence_name,drill_permit,drill_permit_version,drill_oper_group_designation,drill_oper_long_name,drilling_facility_name,wellbore_entry_date,wellbore_completion_date,drilling_days,main_NCS_area,quadrant,block,well_number_in_block,NS_decimal_degrees,EW_decimal_degrees,geodetic_datum,NS_UTM,EW_UTM,UTM_zone,seismic_location,reentry_activity,wellbore_status,wellbore_contents,wellbore_purpose,original_wellbore_purpose,total_depth,kelly_bushing_elevation,water_depth,deepest_penetrated_age,date_generated,NPDID_wellbore,NPDID_discovery,NPDID_field,NPDID_facility_drilling,NPDID_production_licence,www.npd.no/engelsk/cwi/pbl/en/well/all/*.htm
34/10-43 S,34/10-43,34/10-43 S,GULLFAKS S?R,050 B,993,L,STATOIL,Den norske stats oljeselskap a.s,TRANS. WILDCAT,25.02.2001,11.04.2001,46,NORTH SEA,34,10,43,61.10855,2.049933,ED50,6775410.84,448788.97,31,,,P&A,OIL,WILDCAT,WILDCAT,5725,25,139,TRIASSIC,24.03.2006,4247,1628630,43699,297028,21196,4247
34/10-44 S,34/10-44,34/10-44 S RIMFAKS LUNDE,GULLFAKS S?R,050,1018,L,STATOIL,Den norske stats oljeselskap a.s,TRANS. WILDCAT,30.05.2001,08.07.2001,40,NORTH SEA,34,10,44,61.064069,2.003031,ED50,6770494.13,446185.45,31,,,RE-CLASS TO DEV,GAS/CONDENSATE,WILDCAT,WILDCAT,4865,25,137,LATE TRIASSIC,24.03.2006,4422,1630418,43699,297028,21188,4422
34/10-45 S,34/10-45,34/10-45 S,GULLFAKS,050,1027,L,STATOIL,Statoil ASA,GULLFAKS B,03.11.2001,12.01.2002,71,NORTH SEA,34,10,45,61.202758,2.201647,ED50,6785795.1,457094.51,31,,,RE-CLASS TO DEV,GAS/CONDENSATE,WILDCAT,WILDCAT,7594,81,143,LATE JURASSIC,24.03.2006,4450,1853762,43686,271917,21188,4450
34/10-45 A,34/10-45,34/10-45 S,GULLFAKS,050,1033,L,STATOIL,Statoil ASA,GULLFAKS B,12.01.2002,23.02.2002,43,NORTH SEA,34,10,45,61.202758,2.201647,ED50,6785795.1,457094.51,31,,,RE-CLASS TO DEV,GAS/CONDENSATE,APPRAISAL,APPRAISAL,6523,81,143,LATE JURASSIC,24.03.2006,4501,1853762,43686,271917,21188,4501
34/10-45 B,34/10-45,34/10-45 B,GULLFAKS,050,1068,L,STATOIL,Statoil ASA,GULLFAKS B,10.10.2003,06.11.2003,28,NORTH SEA,34,10,45,61.202758,2.201647,ED50,6785795.1,457094.51,31,,,RE-CLASS TO DEV,GAS/CONDENSATE,WILDCAT,WILDCAT,7928,81,143,MIDDLE JURASSIC,24.03.2006,4824,2482767,43686,271917,21188,4824
34/10-46 S,34/10-46,,,050,1030,L,STATOIL,Statoil ASA,GULLFAKS A,13.11.2001,01.02.2002,81,NORTH SEA,34,10,46,61.176106,2.189147,ED50,6782834.61,456385.94,31,,,RE-CLASS TO DEV,GAS,WILDCAT,WILDCAT,5568,82,134,EARLY JURASSIC,24.03.2006,4489,,,271833,21188,4489
34/10-46 A,34/10-46,34/10-46 A,GULLFAKS,050,1032,L,STATOIL,Statoil ASA,GULLFAKS A,01.02.2002,18.03.2002,46,NORTH SEA,34,10,46,61.176106,2.189147,ED50,6782834.61,456385.94,31,,,RE-CLASS TO DEV,OIL/GAS,WILDCAT,WILDCAT,6860,82,134,MIDDLE JURASSIC,24.03.2006,4500,2066044,43686,271833,21188,4500
34/10-46 B,34/10-46,34/10-46 A,GULLFAKS,050,1035,L,STATOIL,Statoil ASA,GULLFAKS A,17.03.2002,12.05.2002,57,NORTH SEA,34,10,46,61.176106,2.189147,ED50,6782834.61,456385.94,31,,,RE-CLASS TO DEV,DRY,APPRAISAL,APPRAISAL,7725,82,134,MIDDLE JURASSIC,24.03.2006,4527,2066044,43686,271833,21188,4527
34/10-47 S,34/10-47,34/10-47 S GULLTOPP,GULLFAKS S?R,050 B,1042,L,STATOIL,Statoil ASA,DEEPSEA TRYM,22.09.2002,02.11.2002,42,NORTH SEA,34,10,47,61.18125,2.053083,ED50,6783505.97,449075.98,31,ST9607-inline 2401 & CDP 2056,,SUSPENDED,OIL,WILDCAT,WILDCAT,4027,25,140,MIDDLE JURASSIC,24.03.2006,4609,2144184,43699,296164,21196,4609
34/10-47 A,34/10-47,,,050 B,1046,L,STATOIL,Statoil ASA,DEEPSEA TRYM,02.11.2002,14.11.2002,13,NORTH SEA,34,10,47,61.18125,2.053083,ED50,6783505.97,449075.98,31,ST9607-inline 2401 & CDP 2056,,P&A,DRY,WILDCAT,WILDCAT,3020,25,140,EARLY JURASSIC,24.03.2006,4640,,,296164,21196,4640
34/10-48 S,34/10-48,34/10-48 S,,050,1071,L,STATOIL,Statoil ASA,GULLFAKS C,17.03.2004,22.12.2004,281,NORTH SEA,34,10,48,61.214928,2.274344,ED50,6787105.1,461016.37,31,linje 2951 & CDP 3135,,P&A,OIL,WILDCAT,WILDCAT,7477,84,217,LATE TRIASSIC,24.03.2006,4902,3000688,,272645,21188,4902
34/10-48 A,34/10-48,,,050,1089,L,STATOIL,Statoil ASA,GULLFAKS C,22.12.2004,31.01.2005,41,NORTH SEA,34,10,48,61.214928,2.274344,ED50,6787105.1,461016.37,31,inline 2963- CD 3155-TVD 2750,,P&A,OIL,APPRAISAL,APPRAISAL,5878,84,217,MIDDLE JURASSIC,24.03.2006,5046,,,272645,21188,5046
34/10-49 S,34/10-49,,,050,1099,L,STATOIL,Statoil ASA,OCEAN VANGUARD,20.03.2006,,0,NORTH SEA,34,10,49,61.129192,2.090606,ED50,6777678.84,451013.16,31,,,,,WILDCAT,WILDCAT,0,22,138,,24.03.2006,5140,,,287902,21188,5140
34/11-1,34/11-1,34/11-1 KVITEBJ?RN,KVITEBJ?RN,193,792,L,STATOIL,Den norske stats oljeselskap a.s,ROSS RIG,07.07.1994,25.10.1994,111,NORTH SEA,34,11,1,61.079017,2.506317,ED50,6771849.79,473363.91,31,TFE 91- ROW 635 & COLUMN 1921,,P&A,GAS/CONDENSATE,WILDCAT,WILDCAT,4580,23,191,EARLY JURASSIC,24.03.2006,2377,44642,1036101,294382,22356,2377
34/11-2 S,34/11-2,34/11-2 S N?KKEN,,193,838,L,STATOIL,Den norske stats oljeselskap a.s,VILDKAT EXPLORER,16.01.1996,17.05.1996,123,NORTH SEA,34,11,2,61.2259,2.382447,ED50,6788267.62,466835.28,31,TFE 91- ROW 1111& COLUMN 653,,SUSPENDED,GAS/CONDENSATE,WILDCAT,WILDCAT,4742,25,261,EARLY JURASSIC,24.03.2006,2733,44648,,297028,22356,2733
34/11-3,34/11-3,34/11-1 KVITEBJ?RN,KVITEBJ?RN,193,853,L,STATOIL,Den norske stats oljeselskap a.s,DEEPSEA TRYM,01.08.1996,16.01.1997,169,NORTH SEA,34,11,3,61.095903,2.518475,ED50,6773725.82,474033.73,31,TFE 91R95W- INLINE 792 & CROSSLINE 1860,,P&A,GAS/CONDENSATE,APPRAISAL,APPRAISAL,4230,25,207,EARLY JURASSIC,24.03.2006,2866,44642,1036101,296164,22356,2866
34/11-4,34/11-4,34/10-23 VALEMON,,193,947,L,STATOIL,Den norske stats oljeselskap a.s,TRANS. ARCTIC,09.12.1998,14.04.1999,127,NORTH SEA,34,11,4,61.057278,2.379583,ED50,6769486.55,466503.35,31,TFE 91- INLINE 356 & X-LINE 1641,,P&A,GAS/CONDENSATE,APPRAISAL,APPRAISAL,4438,24,133,EARLY JURASSIC,24.03.2006,3314,44618,,294382,22356,3314
34/11-5 S,34/11-5,,,193,1106,L,STATOIL,Statoil ASA,KVITEBJ?RN,31.01.2006,02.03.2006,31,NORTH SEA,34,11,5,61.080281,2.499722,ED50,6771993.27,473009.2,31,line9671-survey ST0407,,SUSP. AT 13 3/8'',,WILDCAT,WILDCAT,0,61,190,,24.03.2006,5248,,,280877,22356,5248
35/1-1,35/1-1,,,269,1038,L,PHILLIPS,Phillips Petroleum Company Norway,DEEPSEA BERGEN,28.05.2002,18.07.2002,52,NORTH SEA,35,1,1,61.835864,3.073392,ED50,6856062.02,503864.91,31,Supergrid line 30280&Supergrid trace 782,,P&A,DRY,WILDCAT,WILDCAT,4540,23,408,LATE TRIASSIC,24.03.2006,4541,,,287983,1624410,4541
35/2-1,35/2-1,,,318,1098,L,HYDRO,Norsk Hydro Produksjon AS,DEEPSEA TRYM,21.07.2005,30.08.2005,0,NORTH SEA,35,2,1,61.890958,3.342803,ED50,6862245.11,518020.07,31,NHO473-101/NH0473-101,,SUSPENDED,GAS,WILDCAT,WILDCAT,712,25,384,TERTIARY,24.03.2006,5135,,,296164,2786586,5135
35/3-1,35/3-1,,,041,162,L,SAGA,Saga Petroleum ASA,DEEPSEA SAGA,19.07.1976,26.10.1976,100,NORTH SEA,35,3,1,61.844969,3.728156,ED50,6857289,538333.83,31,,,P&A,DRY,WILDCAT,WILDCAT,4475,25,304,MIDDLE JURASSIC,24.03.2006,432,,,289090,21116,432
35/3-2,35/3-2,35/3-2 AGAT,,041,249,L,SAGA,Saga Petroleum ASA,SEDCO 707,19.05.1980,26.10.1980,161,NORTH SEA,35,3,2,61.851661,3.774506,ED50,6858062.65,540764.96,31,TLGS 78-01 SP.2945,,P&A,GAS/CONDENSATE,WILDCAT,WILDCAT,4400,24,272,PRE-DEVONIAN,24.03.2006,136,44768,,288037,21116,136
35/3-3,35/3-3,,,041,265,L,SAGA,Saga Petroleum ASA,BYFORD DOLPHIN,30.10.1980,28.11.1980,30,NORTH SEA,35,3,3,61.865167,3.873833,ED50,6859633.43,545972.49,31,TLGS 78 - 01A  SP: 2727.,,JUNKED,DRY,WILDCAT,WILDCAT,900,25,259,OLIGOCENE,24.03.2006,491,,,341331,21116,491
35/3-4,35/3-4,35/3-2 AGAT,,041,272,L,SAGA,Saga Petroleum ASA,BYFORD DOLPHIN,30.11.1980,06.06.1981,189,NORTH SEA,35,3,4,61.86515,3.874164,ED50,6859631.8,545989.9,31,,,P&A,GAS/CONDENSATE,APPRAISAL,WILDCAT,4089,25,258,PRE-DEVONIAN,24.03.2006,219,44768,,341331,21116,219
35/3-5,35/3-5,,,041,313,L,SAGA,Saga Petroleum ASA,WEST VENTURE OLD,22.12.1981,31.03.1982,100,NORTH SEA,35,3,5,61.796308,3.912225,ED50,6851990.69,548099.85,31,SG 8130 - 413 &  SP 484,,P&A,DRY,WILDCAT,WILDCAT,4114,33,262,PRE-DEVONIAN,24.03.2006,433,,,362494,21116,433
35/3-6,35/3-6,,,270,1029,L,RWE-DEA,RWE Dea Norge AS,DEEPSEA BERGEN,06.02.2002,02.04.2002,56,NORTH SEA,35,3,6,61.8936,3.988136,ED50,6862886.92,551937.48,31,GP3D93 inline 3825 & crossline 1820,,P&A,DRY,WILDCAT,WILDCAT,3366,25,225,LATE JURASSIC,24.03.2006,4492,,,287983,1624436,4492
35/4-1,35/4-1,,,194,870,L,HYDRO,Norsk Hydro Produksjon AS,TREASURE SAGA,23.12.1996,24.05.1997,153,NORTH SEA,35,4,1,61.533486,3.302294,ED50,6822412.01,516075.7,31,NH 9402-crossline 4643 & inline 2487,,P&A,SHOWS,WILDCAT,WILDCAT,4936,26,378,TRIASSIC,24.03.2006,2993,,,296326,22364,2993
35/8-1,35/8-1,35/8-1,,058,258,L,GULF,Norwegian Gulf Exploration Company AS,SEDCO 704,27.07.1980,24.01.1981,182,NORTH SEA,35,8,1,61.357325,3.362247,ED50,6802804.7,519372.88,31,79 - 2 - 35A SP 460,,P&A,GAS/CONDENSATE,WILDCAT,WILDCAT,4345,26,377,LATE TRIASSIC,24.03.2006,205,44774,,288820,21260,205
35/8-2,35/8-2,35/8-2,,058,299,L,GULF,Norwegian Gulf Exploration Company AS,SEDCO 704,11.09.1981,21.05.1982,253,NORTH SEA,35,8,2,61.27095,3.366158,ED50,6793184.26,519635.98,31,79-1-4C SP: 478,,P&A,GAS/CONDENSATE,WILDCAT,WILDCAT,4335,26,381,EARLY JURASSIC,24.03.2006,434,44780,,288820,21260,434
35/8-3,35/8-3,35/8-3,,058,580,L,GULF,Norwegian Gulf Exploration Company AS,TREASURE SCOUT,05.07.1988,15.10.1988,103,NORTH SEA,35,8,3,61.351486,3.534064,ED50,6802217.37,528566.79,31,LINJE 79 - 2 - 30   SP 590,,P&A,GAS,WILDCAT,WILDCAT,3944,23,373,MIDDLE JURASSIC,24.03.2006,1288,1333027,,287848,21260,1288
35/8-4,35/8-4,,,195,959,L,BP,BP NORWAY LIMITED U.A.,WEST ALPHA,04.07.1999,10.08.1999,38,NORTH SEA,35,8,4,61.359175,3.505681,ED50,6803061.76,527041.96,31,BPA 9301 SD:IL 4035.XL 5522,,P&A,DRY,WILDCAT,WILDCAT,3719,18,376,LATE JURASSIC,24.03.2006,3791,,,297514,22372,3791
35/8-5 S,35/8-5,,,195,1063,L,HYDRO,Norsk Hydro Produksjon AS,DEEPSEA DELTA,01.06.2003,20.07.2003,50,NORTH SEA,35,8,5,61.377864,3.655636,ED50,6805214.87,535039.97,31,,,P&A,SHOWS,WILDCAT,WILDCAT,4000,29,399,MIDDLE JURASSIC,24.03.2006,4761,,,287821,22372,4761
35/9-1,35/9-1,35/9-1 GJ?A,,153,603,L,HYDRO,Norsk Hydro Produksjon AS,POLAR PIONEER,31.03.1989,08.05.1989,39,NORTH SEA,35,9,1,61.385542,3.984367,ED50,6806290.8,552595.04,31,DGM 1-86-0473 3D CDP 1850,,SUSP.REENTERED LATER,OIL/GAS,WILDCAT,WILDCAT,2350,23,361,PRE-DEVONIAN,24.03.2006,1375,44786,,289333,22036,1375
35/9-1 R,35/9-1,35/9-1 GJ?A,,153,603,L2,HYDRO,Norsk Hydro Produksjon AS,POLAR PIONEER,03.07.1989,27.07.1989,25,NORTH SEA,35,9,1,61.385542,3.984367,ED50,6806290.8,552595.04,31,DGM 1-86-0473 3D CDP 1850,TESTING/PLUGGING,P&A,OIL/GAS,WILDCAT,WILDCAT,2350,23,361,PRE-DEVONIAN,24.03.2006,1441,44786,,289333,22036,1441
35/9-2,35/9-2,35/9-2,,153,663,L,HYDRO,Norsk Hydro Produksjon AS,VILDKAT EXPLORER,01.01.1991,03.04.1991,92,NORTH SEA,35,9,2,61.335747,3.937942,ED50,6800707.8,550194.35,31,NH 8902 - ROW 816 & KOL. 1229,,P&A,OIL/GAS,WILDCAT,WILDCAT,2885,25,367,PRE-DEVONIAN,24.03.2006,1600,2449421,,297028,22036,1600
35/9-3,35/9-3,35/9-3,,153,906,L,HYDRO,Norsk Hydro Produksjon AS,WEST VANGUARD,23.09.1997,11.11.1997,50,NORTH SEA,35,9,3,61.481044,3.975047,ED50,6816921.17,551938.12,31,NH 9405- INLINE 2925 & CROSSLINE 7511,,P&A,OIL/GAS,WILDCAT,WILDCAT,2783,22,346,PRE-DEVONIAN,24.03.2006,3206,45651,,287902,22036,3206
35/9-4 S,35/9-4,35/9-2,,153,930,L,HYDRO,Norsk Hydro Produksjon AS,TRANS. LEADER,13.07.1998,12.08.1998,31,NORTH SEA,35,9,4,61.325694,3.965342,ED50,6799609.42,551677.16,31,NH 8902- INLINE 762 & CROSSLINE 1111,,SUSPENDED,DRY,APPRAISAL,APPRAISAL,1261,24,388,PALEOCENE,24.03.2006,3524,2449421,,296677,22036,3524
35/9-4 SR,35/9-4,,,153,930,L2,STATOIL,Statoil ASA,TRANS. LEADER,12.08.1998,13.08.1998,2,NORTH SEA,35,9,4,61.325694,3.965342,ED50,6799609.42,551677.16,31,NH8902-inline762 & crossline 1111,,P&A,DRY,APPRAISAL,APPRAISAL,1261,24,364,PALEOCENE,24.03.2006,5228,,,296677,22036,5228
35/10-1,35/10-1,,,173,692,L,STATOIL,Den norske stats oljeselskap a.s,DEEPSEA BERGEN,01.08.1991,16.01.1992,169,NORTH SEA,35,10,1,61.117236,3.226353,ED50,6776027.74,512197.93,31,NOD4 - 84 - 06 &  SP. 2030,,P&A,OIL/GAS SHOWS,WILDCAT,WILDCAT,3986,23,362,EARLY JURASSIC,24.03.2006,1822,,,287983,22196,1822
35/10-2,35/10-2,35/10-2,,173,843,L,STATOIL,Den norske stats oljeselskap a.s,TRANS. ARCTIC,16.04.1996,22.08.1996,106,NORTH SEA,35,10,2,61.039631,3.041833,ED50,6767362.83,502259.88,31,ST 9303-INLINE 3500 & CROSSLINE 2500,,P&A,GAS,WILDCAT,WILDCAT,4677,24,373,EARLY JURASSIC,24.03.2006,2783,44738,,294382,22196,2783
35/10-3,35/10-3,,,173,950,L,STATOIL,Den norske stats oljeselskap a.s,TRANS. ARCTIC,23.06.1999,14.07.1999,22,NORTH SEA,35,10,3,61.046656,3.127972,ED50,6768151.38,506911.67,31,ST 9303- INLINE 536 & CROSSLINE 2436,,P&A,DRY,WILDCAT,WILDCAT,2250,24,363,LATE CRETACEOUS,24.03.2006,3719,,,294382,22196,3719
35/11-1,35/11-1,,,090,417,L,MOBIL,MOBIL EXPLORATION NORWAY INC.,NORTRYM,23.05.1984,06.08.1984,76,NORTH SEA,35,11,1,61.183131,3.662486,ED50,6783527.21,535626.01,31,SG 8043 - 205  SP. 2360,,P&A,OIL/GAS SHOWS,WILDCAT,WILDCAT,3361,25,365,TRIASSIC,24.03.2006,128,,,288010,21524,128
35/11-2,35/11-2,35/11-2,,090,553,L,MOBIL,MOBIL EXPLORATION NORWAY INC.,TREASURE SCOUT,20.07.1987,04.12.1987,138,NORTH SEA,35,11,2,61.174006,3.458711,ED50,6782416.83,524675.04,31,NM84 - 208   SP. 520,,P&A,GAS/CONDENSATE,WILDCAT,WILDCAT,4025,23,372,EARLY JURASSIC,24.03.2006,893,44744,,287848,21524,893
35/11-3 S,35/11-3,,,090,611,L,MOBIL,MOBIL EXPLORATION NORWAY INC.,DYVI STENA,27.06.1989,09.09.1989,75,NORTH SEA,35,11,3,61.086733,3.338464,ED50,6772656.11,518257.03,31,MN 88 - 815  SP. 585,,P&A,OIL SHOWS,WILDCAT,WILDCAT,4040,25,358,EARLY JURASSIC,24.03.2006,1356,,,290980,21524,1356
35/11-4,35/11-4,35/11-4 FRAM,FRAM,090,642,L,MOBIL,MOBIL EXPLORATION NORWAY INC.,YATZY,18.08.1990,29.12.1990,134,NORTH SEA,35,11,4,61.033314,3.548217,ED50,6766782.48,529620.95,31,MN88 - 814    SP 440,,SUSP.REENTERED LATER,OIL/GAS,WILDCAT,WILDCAT,3127,17,355,EARLY JURASSIC,24.03.2006,1523,44750,1578840,289306,21524,1523
35/11-4 R,35/11-4,35/11-4 FRAM,FRAM,090,642,L3,MOBIL,MOBIL EXPLORATION NORWAY INC.,SOVEREIGN EXPLOR,16.11.1991,27.01.1992,73,NORTH SEA,35,11,4,61.033314,3.548217,ED50,6766782.48,529620.95,31,MN88 - 814  SP 440,DRILLING/PLUGGING,P&A,OIL/GAS,APPRAISAL,APPRAISAL,3120,27,355,EARLY JURASSIC,24.03.2006,1883,44750,1578840,289846,21524,1883
35/11-5,35/11-5,,,090,687,L,MOBIL,MOBIL EXPLORATION NORWAY INC.,SOVEREIGN EXPLOR,27.06.1991,03.11.1991,130,NORTH SEA,35,11,5,61.079328,3.398192,ED50,6771849.34,521483.79,31,MN 88-814 &  SP. 822,,P&A,OIL/GAS,WILDCAT,WILDCAT,3769,27,355,EARLY JURASSIC,24.03.2006,1780,,,289846,21524,1780
35/11-6,35/11-6,35/11-2,,090,714,L,MOBIL,MOBIL EXPLORATION NORWAY INC.,SOVEREIGN EXPLOR,30.01.1992,20.04.1992,82,NORTH SEA,35,11,6,61.196061,3.465406,ED50,6784876.16,525017.66,31,MN9003 - 302 &   SP 632,,P&A,OIL SHOWS,APPRAISAL,APPRAISAL,3995,27,370,EARLY JURASSIC,24.03.2006,1879,44744,,289846,21524,1879
35/11-7,35/11-7,35/11-7,FRAM,090,737,L,MOBIL,MOBIL EXPLORATION NORWAY INC.,WEST DELTA,23.07.1992,29.09.1992,69,NORTH SEA,35,11,7,61.033261,3.590619,ED50,6766796.52,531912.04,31,MN 88-813 & SP. 541,,P&A,OIL/GAS,WILDCAT,WILDCAT,2895,29,355,EARLY JURASSIC,24.03.2006,1979,44756,1578840,287821,21524,1979
35/11-8 S,35/11-8,35/11-8 S,FRAM,090,841,L,HYDRO,Norsk Hydro Produksjon AS,TREASURE SAGA,03.03.1996,11.05.1996,70,NORTH SEA,35,11,8,61.090425,3.537458,ED50,6773139.14,528987.44,31,MN 9201- INLINE 4287 & CROSSLINE 1277,,P&A,OIL/GAS,WILDCAT,WILDCAT,3624,26,361,EARLY JURASSIC,24.03.2006,2772,44762,1578840,296326,21524,2772
35/11-9,35/11-9,35/11-8 S,FRAM,090,875,L,HYDRO,Norsk Hydro Produksjon AS,WEST DELTA,02.03.1997,01.05.1997,61,NORTH SEA,35,11,9,61.065064,3.501931,ED50,6770298.99,527092.97,31,MN 9201- INLINE 5320 & CROSSLINE 1455,,P&A,OIL,APPRAISAL,APPRAISAL,2830,29,357,MIDDLE JURASSIC,24.03.2006,3009,44762,1578840,287821,21524,3009
35/11-10,35/11-10,35/11-4 FRAM,FRAM,090,891,L,HYDRO,Norsk Hydro Produksjon AS,WEST VANGUARD,19.05.1997,23.06.1997,36,NORTH SEA,35,11,10,61.019594,3.523969,ED50,6765243.58,528323.08,31,MN 9201- INLINE 5385 & CROSSLINE 1871,,P&A,OIL/GAS,APPRAISAL,APPRAISAL,2950,22,354,EARLY JURASSIC,24.03.2006,3042,44750,1578840,287902,21524,3042
35/11-10 A,35/11-10,35/11-4 FRAM,FRAM,090,899,L,HYDRO,Norsk Hydro Produksjon AS,WEST VANGUARD,23.06.1997,14.07.1997,22,NORTH SEA,35,11,10,61.019594,3.523969,ED50,6765243.58,528323.08,31,MN 9201 inline 5385 xline 1871,,P&A,OIL SHOWS,APPRAISAL,APPRAISAL,3259,22,354,MIDDLE JURASSIC,24.03.2006,3151,44750,1578840,287902,21524,3151
35/11-11,35/11-11,35/11-8 S,FRAM,090,927,L,HYDRO,Norsk Hydro Produksjon AS,TRANS. LEADER,16.04.1998,22.05.1998,37,NORTH SEA,35,11,11,61.108728,3.563633,ED50,6775189.73,530381.59,31,MN 920196- INLINE 3530 &  X-LINE 114,,P&A,SHOWS,APPRAISAL,APPRAISAL,3225,24,359,EARLY JURASSIC,24.03.2006,3356,44762,1578840,296677,21524,3356
35/11-12,35/11-12,,,248,973,L,HYDRO,Norsk Hydro Produksjon AS,TRANS. ARCTIC,19.04.2000,14.05.2000,26,NORTH SEA,35,11,12,61.128758,3.381572,ED50,6777350.06,520555.02,31,Crossline 2764 & Inline 1288 Survey STNH,,P&A,OIL SHOWS,WILDCAT,WILDCAT,3378,24,364,MIDDLE JURASSIC,24.03.2006,4054,,,294382,102285,4054
35/11-13,35/11-13,,,090 B,1092,L,HYDRO,Norsk Hydro Produksjon AS,DEEPSEA TRYM,18.03.2005,13.05.2005,57,NORTH SEA,35,11,13,61.16225,3.539278,ED50,6781140.46,529019.63,31,MN92001R03:inline934 & crossline 976,,P&A,OIL/GAS,WILDCAT,WILDCAT,3266,25,388,LATE JURASSIC,24.03.2006,5063,,,296164,3426781,5063
35/12-1,35/12-1,,,174,720,L,SAGA,Saga Petroleum ASA,TREASURE SAGA,27.02.1992,24.04.1992,58,NORTH SEA,35,12,1,61.184461,3.962614,ED50,6783875.97,551762.89,31,NO.D4-84-83 & SP. 920,,P&A,OIL SHOWS,WILDCAT,WILDCAT,3020,26,351,EARLY JURASSIC,24.03.2006,1881,,,296326,22204,1881
36/1-1,36/1-1,,,042,128,L,AMOCO,Amoco Norway Oil Company,DYVI ALPHA,09.05.1975,14.06.1975,37,NORTH SEA,36,1,1,61.944544,4.262183,ED50,6868811.12,566230.22,31,LINE ANO 74-18  SP.191,,P&A,DRY,WILDCAT,WILDCAT,1596,26,165,PRE-DEVONIAN,24.03.2006,435,,,297514,21124,435
36/1-2,36/1-2,,,042,138,L,SAGA,Saga Petroleum ASA,DEEPSEA SAGA,26.08.1975,27.10.1975,63,NORTH SEA,36,1,2,61.883403,4.014497,ED50,6861772.37,553340.71,31,LINE CH 431-120   SP.730,,P&A,SHOWS,WILDCAT,WILDCAT,3256,26,226,PRE-DEVONIAN,24.03.2006,436,,,289090,21124,436
36/4-1,36/4-1,,,196,850,L,BP,BP NORWAY LIMITED U.A.,M?RSK JUTLANDER,03.09.1996,02.10.1996,30,NORTH SEA,36,4,1,61.732389,4.033692,ED50,6844966.43,554617.38,31,BPN 9401 INLINE 2034 CROSSLINE 1196,,P&A,DRY,WILDCAT,WILDCAT,2717,23,260,PRE-DEVONIAN,24.03.2006,2847,,,296353,22380,2847
36/7-1,36/7-1,36/7-1,,153,842,L,HYDRO,Norsk Hydro Produksjon AS,WEST VANGUARD,31.03.1996,07.05.1996,38,NORTH SEA,36,7,1,61.353747,4.015894,ED50,6802775.15,554334.61,31,NH 8902-INLINE 928 & CROSSLINE 900,,P&A,OIL/GAS,WILDCAT,WILDCAT,2841,22,358,PRE-DEVONIAN,24.03.2006,1794,44792,,287902,22036,1794
36/7-2,36/7-2,36/7-2,,153,869,L,HYDRO,Norsk Hydro Produksjon AS,WEST VANGUARD,02.09.1997,22.09.1997,21,NORTH SEA,36,7,2,61.306528,4.329722,ED50,6797817.45,571225.2,31,NH 9205 - 113 A & SP. 625,,P&A,OIL,WILDCAT,WILDCAT,1435,22,270,PRE-DEVONIAN,24.03.2006,2990,44798,,287902,22036,2990
36/7-3,36/7-3,,,153,1020,L,HYDRO,Norsk Hydro Produksjon AS,TRANS. ARCTIC,12.12.2001,06.01.2002,26,NORTH SEA,36,7,3,61.425867,4.049892,ED50,6810837,556023.58,31,NH 0069.204/Nh 0069-402,,P&A,DRY,WILDCAT,WILDCAT,2948,24,349,MIDDLE JURASSIC,24.03.2006,4427,,,294382,22036,4427
